"id","CromID","issueyear","genre","AbbeyTheatre","Army","BlackandTans","Capuchins","ClannaGael","CumannnamBan","Dail","Fenians","FiannaEireann","FiannaFail","FreeMasons","GaelicLeague","HighKing","ICA","IRA","IRB","IrishFreeState","IrishParliementaryParty","IrishSportsGAA","IrishVolunteers","Jacobites","LandLeague","LeagueofNations","MollyMaguires","OrderofHibernians","RIC","SinnFein","StEnda","Temperance","TradeUnions","WildGeese","YoungIrelanders","AuthorM","AuthorF"
"72Q","CromFT81",1972,"Essay",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"72S","CromFT82",1972,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"73J","CromFT83",1973,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"74C","CromFT84",1974,"Biography",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"74Q","CromFT85",1974,"Essay",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"74S","CromFT86",1974,"Biography",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
"75M","CromFT87",1975,"Biography",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"75Q","CromFT88",1975,"Essay",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"76A","CromFT89",1976,"Biography",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"76E","CromFT90",1976,"Essay",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
"76R","CromFT91",1976,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"77C","CromFT92",1977,"Fiction",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"77M","CromFT93",1977,"Essay",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
"TOTAL","TOTAL","TOTAL","TOTAL",1,48,6,9,1,0,7,20,1,0,2,15,17,0,5,4,,7,8,7,42,13,1,0,1,2,12,3,2,3,15,9,70,19
